Nombre de villes;BrutForce v2;BrutForce v3;BrutForce v3.1;BrutForce v4;BackTrack v1;BackTrack v2;TrackProches;TrackProches v1.1;TrackProches v2;Marge d'erreur CurrentTime
3;;8,13770374382247E-5;;;8,13770374382247E-5;;1,1469767022723503E-4;1,4E-4;1,9821424996424675E-4;58,09233929248444
4;8,13770374382247E-5;;;;;;1,1469767022723503E-4;8,13770374382247E-5;;44,840490592546914
5;8,13770374382247E-5;;;;8,13770374382247E-5;;1,1469767022723503E-4;;1,4E-4;53,09496932248721
6;;1,6110727964792766E-4;;;2,10923893594085E-4;;1,1469767022723503E-4;1,1469767022723503E-4;1,1469767022723503E-4;44,53698930153181
7;3,3259919155377126E-4;3,1297852251481337E-4;2,246973272847029E-4;1,7950549357115015E-4;3,0868898407440605E-4;1,9595917942265425E-4;2,4944382578492944E-4;1,4E-4;2,3748684174075834E-4;40,96779619106623
8;0,0013189389675038073;4,3107101760872545E-4;3,8418745424597083E-4;3,785351884420903E-4;5,120763831912404E-4;3,8964371189873214E-4;3,3259919155377126E-4;3,2496153618543846E-4;3,6030850978324426E-4;45,65613330481099
9;0,0058696242544892885;0,0035308167138307627;0,0027008558314397723;0,002425274325835236;0,00400069438417327;0,0025031890770686018;0,0022298579924889097;0,0014045007021081287;0,00215752945132467;61,659513263471744
10;0,013089383314562743;0,00924001923999916;0,00550797805208249;0,007772890210354338;0,009419650854581728;0,006879483184723171;0,006853608943874427;0,007270946751741939;0,005334204095582896;94,29020682215709
11;0,056487812254800804;0,024994471388688363;0,018864368529056007;0,013720712647510942;0,04409046306553539;0,012642751107079308;0,011581865134769935;0,013734286374698224;0,01040347164278455;93,82969734079244
12;0,18322290310515196;0,07943554340193572;0,06341181137788672;0,055704097595140466;0,25401225945917544;0,0615351711534865;0,06201248225603902;0,06058595400109025;0,0451869814093494;13,475655771665458
13;;;0,08546506082986782;0,26742737198893396;1,706363826269181;0,3866889435536872;0,385350865172104;0,3889961418831812;0,2874264350326106;7,693501848710639
14;;;;;6,52532780763967;1,5566030850112913;1,5405792484069816;1,3499075890840317;0,9774357745311626;7,972831875942483
15;;;;;;8,912054917903799;8,778880491411694;8,052464304999367;4,983298951359655;7,827084942899947
16;;;;;;;;;18,896943014112697;7,893204375610548
17;;;;;;;;;;10,906017068787783
18;;;;;;;;;;10,84590831554181
19;;;;;;;;;;11,126213840492289
20;;;;;;;;;;12,134342246040159
