Nombre de villes;BrutForce v2;BrutForce v3;BrutForce v3.1;BrutForce v4;BackTrack v1;BackTrack v2;TrackProches;TrackProches v1.1;TrackProches v2;Marge d'erreur CurrentTime;;;
3;4,00E-05;5,00E-05;2,00E-05;2,00E-05;3,00E-05;3,00E-05;4,00E-05;1,10E-04;4,00E-05;132,2916937;;;
4;1,00E-05;9,00E-05;;1,00E-05;3,00E-05;1,00E-05;1,00E-05;2,00E-05;5,00E-05;66,37970628;;;
5;2,00E-05;6,00E-05;;3,00E-05;7,00E-05;2,00E-05;7,00E-05;5,00E-05;1,20E-04;50,36970953;;;
6;5,00E-05;7,00E-05;;;1,00E-04;2,00E-05;;4,00E-05;3,00E-05;34,47512169;;;
7;2,20E-04;1,40E-04;5,00E-05;7,00E-05;1,30E-04;2,00E-05;3,00E-05;6,00E-05;5,00E-05;35,83570981;;;
8;0,00109;5,60E-04;2,90E-04;1,90E-04;6,40E-04;2,20E-04;1,40E-04;2,00E-04;1,30E-04;20,92754835;;;
9;0,00858;0,00263;0,00176;0,00116;0,00292;8,10E-04;9,10E-04;8,10E-04;4,90E-04;20,37386972;;;
10;0,06661;0,01968;0,01232;0,00656;0,01279;0,00361;0,00358;0,0034;0,00211;20,88419964;;;
11;0,64198;0,20205;0,1212;0,05946;0,07359;0,01749;0,017;0,01576;0,00855;22,69296855;;;
12;7,12176;2,33845;1,36722;0,51918;0,35106;0,0799;0,0778;0,06785;0,03378;24,90234134;;;
13;;;;6,673;2,079;0,4637;0,44758;0,38948;0,19292;24,90426138;;;
14;;;;;9,26442;1,99296;1,92221;1,54429;0,61424;21,29163788;;;
15;;;;;;9,64096;9,39721;7,09636;2,44545;20,01228596;;;
